Patient_ID,Medical_Record_Number,Visit_ID,First_Name,Last_Name,SSN,Date_of_Birth,Gender,Street_Address,City,State,Zip_Code,Phone_Number,Email,Insurance_Provider,Insurance_Policy_Num,Group_ID,Admission_Date,Discharge_Date,Attending_Physician,Facility_Name,Primary_Diagnosis_Code,Secondary_Diagnosis_Code,Procedure_Code_CPT,Medication_List,Lab_Result_ID,Blood_Type,Notes_Comments
46c1fb1e-cbd6-4b73-8490-2a0a469e5dab,5833650,VST-42385852,Oscar,White,640-86-9495,1959-12-27,M,230 Keith Mountains,Lake Allison,NM,92493,001-752-382-7669x7213,abbottjonathan@gmail.com,Humana,X74991449,GRP1793,2024-08-19,2024-08-24,Dr. Stevens,Maureenton General Hospital,J01.90,Z00.00,53943,"Gabapentin, Omeprazole",LAB-9477941,AB-,Patient strictly confidential. HIPAA Protected.
b89dcd78-f5ef-4640-9593-b8697a37bf1b,2692608,VST-24430627,Christopher,Rich,191-81-4520,1949-10-04,M,8579 Johnson Roads Apt. 420,New Josephfort,MD,98646,5087625271,marksmith@hotmail.com,Cigna,X23972059,GRP6079,2026-01-31,2026-02-01,Dr. Rollins,East Edwardfort General Hospital,I10,F41.1,67287,"Furosemide, Albuterol, Metoprolol",LAB-9287767,AB+,Patient strictly confidential. HIPAA Protected.
b292ac65-e422-43e3-b3aa-b9b422308b41,8895051,VST-79658132,Andres,Kline,403-73-7612,1987-12-26,F,5014 Sharp Coves Apt. 202,Johnsonland,IL,95700,+1-588-905-5673x3955,milesgregory@gmail.com,Kaiser Permanente,X73028628,GRP3856,2025-09-21,2025-09-26,Dr. Decker,Hallport General Hospital,N39.0,I10,55751,"Levothyroxine, Hydrochlorothiazide, Atorvastatin",LAB-4398457,AB-,Patient strictly confidential. HIPAA Protected.
feebecd9-07cc-4649-ad2b-96768fb9d69d,3527645,VST-58153840,Sara,Bowman,884-87-8737,1960-07-05,F,239 Alexander Ridges Suite 370,Trevinostad,CO,56816,(945)671-8507,diana81@yahoo.com,Medicare,X73299542,GRP3034,2025-04-21,2025-05-01,Dr. Miller,Michaelside General Hospital,N39.0,I25.10,54878,Amlodipine,LAB-0189949,AB+,Patient strictly confidential. HIPAA Protected.
6d72f8e5-ba0c-4b4b-a5c3-ca47edaa5005,4892497,VST-89814241,Isaiah,May,328-34-5923,1948-06-27,M,2310 Justin Mission,Ortegaville,HI,44528,257-766-8301x852,michaelwright@hotmail.com,UnitedHealthcare,X97431696,GRP6883,2025-01-14,2025-01-24,Dr. Rivera,Navarroland General Hospital,M54.5,M25.50,60060,Sertraline,LAB-8136935,O-,Patient strictly confidential. HIPAA Protected.
5f4f7333-abb2-4cb9-8a17-6e487700b369,7901352,VST-29049361,Jill,Durham,010-55-2298,2015-02-27,M,25262 Jackson Plains,South David,OR,84926,(413)334-6809,fergusonsteven@gmail.com,Aetna,X16707677,GRP2250,2025-06-19,2025-06-28,Dr. Vaughn,East Sabrina General Hospital,I25.10,F41.1,65721,"Hydrochlorothiazide, Metoprolol",LAB-0978104,O+,Patient strictly confidential. HIPAA Protected.
98e87190-8681-4114-af0e-a63536e0f979,6840108,VST-14804685,Kathryn,Clark,723-32-5594,1940-03-31,F,60837 Riggs Ridge Suite 694,New Cristianbury,DC,31102,581-859-0157x301,edwardwalters@hotmail.com,Humana,X79400470,GRP6416,2024-06-13,2024-06-14,Dr. Becker,Ericafurt General Hospital,M54.5,N39.0,38513,"Omeprazole, Amlodipine",LAB-1961168,B+,Patient strictly confidential. HIPAA Protected.
52ee81da-12b9-4505-af80-26e7a6c94158,8088692,VST-91895306,Tina,Johnson,550-52-7390,2019-01-27,F,63047 Cathy Islands,Evansberg,VA,43512,873.377.9086,wramos@yahoo.com,Medicaid,X32731536,GRP2619,2024-10-24,2024-10-30,Dr. Weber,Millerburgh General Hospital,F41.1,J44.9,75390,"Simvastatin, Losartan, Amlodipine",LAB-5329904,B-,Patient strictly confidential. HIPAA Protected.
f35340bb-3b4a-4565-b0da-d5fa42404b84,8038853,VST-89912863,Robert,Luna,715-48-1881,2024-05-12,M,7953 Theresa Burgs,East Amanda,OK,54136,217-838-7647x30723,jason79@gmail.com,Kaiser Permanente,X29322376,GRP4250,2025-12-11,2025-12-19,Dr. Harris,Isabelhaven General Hospital,E03.9,E78.5,13028,"Metformin, Simvastatin, Omeprazole",LAB-9097251,A+,Patient strictly confidential. HIPAA Protected.
40929011-ac3a-4b86-aeeb-b3fbb9db1160,1333868,VST-87496412,Frank,May,522-67-5639,1962-01-11,F,77725 Randy Forest,Wongborough,AS,36727,(982)466-8398x9130,loridaniels@yahoo.com,Aetna,X19180883,GRP1100,2024-09-09,2024-09-17,Dr. Valdez,Samanthatown General Hospital,I10,Z00.00,69395,"Albuterol, Hydrochlorothiazide",LAB-0792161,O-,Patient strictly confidential. HIPAA Protected.
f1cd1b25-06c2-44dc-be5c-e093d1d5672d,6423386,VST-62643673,John,Estrada,682-26-5277,1997-10-15,M,4850 Amy Burgs Apt. 499,Hendersonchester,NE,22744,(905)258-0872,christineberger@hotmail.com,Humana,X56138478,GRP2356,2025-01-24,2025-01-27,Dr. Montes,Harveyburgh General Hospital,I25.10,K21.9,88539,"Levothyroxine, Losartan, Hydrochlorothiazide",LAB-3715399,A-,Patient strictly confidential. HIPAA Protected.
514ec0e9-1bf9-4af8-af35-e4e01adb1ea5,3422719,VST-89894222,Amanda,Reynolds,600-90-6267,1954-02-27,M,09172 Stephanie Passage,Zacharyville,PW,53318,+1-757-434-7624,mark04@hotmail.com,Medicaid,X51927915,GRP9024,2025-02-03,2025-02-05,Dr. Greene,Seanborough General Hospital,J44.9,I25.10,10729,"Amlodipine, Losartan, Gabapentin",LAB-9918433,AB-,Patient strictly confidential. HIPAA Protected.
0082a48c-9aa5-4382-b300-bb59cad77341,2454634,VST-89003116,Gabrielle,Willis,617-22-5535,1978-07-26,F,663 Courtney Stream,North Gregory,KY,08525,522.569.3880,mary40@hotmail.com,Medicaid,X67913909,GRP4630,2024-06-25,2024-07-03,Dr. Thomas,Chandlerton General Hospital,M25.50,M25.50,37049,Sertraline,LAB-7789925,O-,Patient strictly confidential. HIPAA Protected.
79d2b551-5c1c-48a8-82b1-084712b527d7,9460253,VST-87771371,Jon,Norris,040-19-5609,2009-09-05,F,6944 Robinson Plaza Apt. 985,Staceyshire,FM,01465,+1-361-236-4116x5071,abeck@hotmail.com,UnitedHealthcare,X50004032,GRP5061,2025-06-20,2025-06-21,Dr. Zhang,Andersonborough General Hospital,M54.5,J01.90,52278,"Metoprolol, Losartan",LAB-2488941,A-,Patient strictly confidential. HIPAA Protected.
f4db214d-0150-44ae-ab90-210394a41d1e,2843311,VST-38739670,Leslie,Mccall,791-16-8507,1975-05-24,M,305 Tammy Square,New Judyville,NC,92408,793.568.1648x469,kmartin@yahoo.com,UnitedHealthcare,X15805358,GRP8555,2025-06-09,2025-06-10,Dr. Hall,Evansbury General Hospital,E11.9,I10,91847,"Furosemide, Losartan",LAB-2970926,B+,Patient strictly confidential. HIPAA Protected.
ea757952-28c4-412b-bf03-6c190c8a7a42,6770847,VST-80334448,Thomas,Duncan,354-51-3554,1970-06-19,F,1131 Smith Lake,Johnberg,TN,66111,680-962-1047x69961,brittanyanderson@gmail.com,UnitedHealthcare,X88364580,GRP5407,2026-01-30,2026-02-04,Dr. Rogers,North Sabrina General Hospital,E11.9,B34.9,26671,"Sertraline, Lisinopril, Losartan",LAB-2781871,B-,Patient strictly confidential. HIPAA Protected.
4f7f2c0a-c8ca-4a40-a805-0ec44d234344,2443208,VST-63064086,Cindy,Carr,715-92-3269,2013-09-13,M,8079 Erica Glens Suite 087,West Megan,NM,62795,295.688.8455x537,twilson@yahoo.com,Medicaid,X50482873,GRP3723,2024-04-01,2024-04-09,Dr. Wilson,North Victoriachester General Hospital,M25.50,K21.9,90368,"Metformin, Furosemide",LAB-0616094,O-,Patient strictly confidential. HIPAA Protected.
9153dc64-bd06-4d2d-be1b-f61df6887143,2818055,VST-52489641,Darrell,Wilson,235-15-5523,1939-04-03,F,729 Melissa Vista Suite 481,East Peterchester,OH,41897,931.737.1039x48530,monicasmith@gmail.com,Aetna,X04391119,GRP3879,2024-10-15,2024-10-19,Dr. Reynolds,Luisside General Hospital,M25.50,J44.9,93917,"Omeprazole, Simvastatin, Atorvastatin",LAB-0676845,AB+,Patient strictly confidential. HIPAA Protected.
32d7690a-ea82-4d9b-8625-7e4bfb7a88d1,6643345,VST-98389472,Jacob,Cruz,769-71-3326,1951-07-18,M,8663 Hensley Avenue Apt. 380,South Kelseyside,AR,50469,001-694-966-3726x749,aliciatorres@gmail.com,Medicare,X01088250,GRP6529,2025-08-28,2025-09-06,Dr. Martin,Terriberg General Hospital,K21.9,E11.9,68621,"Sertraline, Losartan",LAB-2002158,AB-,Patient strictly confidential. HIPAA Protected.
1095f8a2-da80-4983-886a-f7e9aff1998d,4281866,VST-53783875,Kevin,Pennington,744-43-5137,1941-06-17,F,6090 Barnett Unions Apt. 183,Taylorborough,FL,97761,(679)690-4075x8171,xcunningham@gmail.com,Aetna,X69742589,GRP9346,2026-01-04,2026-01-08,Dr. Smith,Ortizstad General Hospital,J01.90,E78.5,72965,"Omeprazole, Simvastatin, Furosemide",LAB-8904519,B-,Patient strictly confidential. HIPAA Protected.
af33fac6-af99-4b40-865a-44fd0f97629c,6537086,VST-10019804,Charlene,Davis,337-49-5822,1980-01-09,F,8322 Owens Prairie Apt. 659,Woodbury,KY,50659,409-923-2210x64982,lbennett@hotmail.com,Medicaid,X42438665,GRP5819,2025-01-29,2025-02-05,Dr. Powell,Lake Jessicamouth General Hospital,E78.5,I25.10,95733,"Metoprolol, Hydrochlorothiazide, Metformin",LAB-4737433,AB-,Patient strictly confidential. HIPAA Protected.
de1a2c9a-6c92-4348-a895-996e66740303,3995647,VST-93873482,Roy,Harris,800-40-8445,1950-02-09,M,28709 Monique Trail,East Karenborough,OH,76437,001-670-798-1675x59985,amyyoung@hotmail.com,Medicare,X82057810,GRP7150,2025-07-21,2025-07-22,Dr. Baker,Calvinville General Hospital,J44.9,E78.5,48183,"Simvastatin, Hydrochlorothiazide, Metformin",LAB-7654517,AB+,Patient strictly confidential. HIPAA Protected.
40838eb4-2c97-41fd-8a4f-4a1b6579994e,9683660,VST-87989627,Jonathan,Davis,780-75-0094,1990-02-14,M,84857 Alicia Lodge,Johnsonport,DC,75751,489-357-4213,sanchezheather@gmail.com,UnitedHealthcare,X94113617,GRP4955,2025-03-10,2025-03-18,Dr. Rush,Cookbury General Hospital,I10,R05,22627,"Omeprazole, Amlodipine, Atorvastatin",LAB-1818692,B-,Patient strictly confidential. HIPAA Protected.
81912f72-3646-409e-9162-0c57c6e73c53,4580692,VST-11099382,Lorraine,Sutton,527-36-7250,1995-08-13,F,43800 Amber Parkways Suite 882,Port Jameshaven,MT,34633,506-441-2943x556,parkautumn@gmail.com,Medicaid,X97900399,GRP2979,2024-04-17,2024-04-18,Dr. Robinson,East Chelseamouth General Hospital,Z00.00,N39.0,62675,"Hydrochlorothiazide, Furosemide",LAB-7940338,A+,Patient strictly confidential. HIPAA Protected.
5dbe24c1-ee1f-46b1-a601-182aace4f1b8,5166433,VST-43659818,Teresa,Fox,465-26-7710,1977-10-06,F,235 Elaine Union,Gonzalesville,TX,84675,3756599226,roweeric@hotmail.com,Aetna,X14071851,GRP6387,2025-06-25,2025-07-03,Dr. Skinner,Lake Joshua General Hospital,M25.50,M25.50,61314,"Atorvastatin, Hydrochlorothiazide",LAB-3168847,B+,Patient strictly confidential. HIPAA Protected.
fe4ba41b-4e70-4947-b466-02b90cc60073,9275025,VST-48246113,Rebecca,Dean,420-93-1053,1950-08-10,M,57623 Richardson Street,Ashleyland,VI,88584,001-720-753-3069,qharris@hotmail.com,Blue Cross Blue Shield,X68627752,GRP3960,2025-09-17,2025-09-20,Dr. Bell,Michaelport General Hospital,B34.9,E78.5,78031,"Levothyroxine, Hydrochlorothiazide",LAB-1069130,A+,Patient strictly confidential. HIPAA Protected.
4b209c17-0f2a-4560-b009-7a0472581322,3139722,VST-24144172,John,Edwards,875-23-5634,1966-09-19,M,9212 Guzman Drive Suite 017,West Christinafort,OR,18196,765.567.1968,josephholmes@gmail.com,Blue Cross Blue Shield,X74459283,GRP7842,2025-06-06,2025-06-12,Dr. Munoz,Davisside General Hospital,E11.9,B34.9,41715,"Furosemide, Metoprolol, Losartan",LAB-9154886,B-,Patient strictly confidential. HIPAA Protected.
783554d8-dd1f-4302-bda3-6c2b2eb5fa92,2677859,VST-93476735,Joseph,Powell,620-44-7822,2006-07-16,M,194 William Ridge,Port Ashley,LA,76747,787.345.6928x8048,sherrynielsen@hotmail.com,Medicaid,X04369299,GRP3724,2024-07-18,2024-07-27,Dr. Nguyen,Kellyburgh General Hospital,F41.1,E03.9,46607,"Atorvastatin, Losartan",LAB-7158796,A+,Patient strictly confidential. HIPAA Protected.
b972693b-c7fd-464c-a061-121fbf03f017,8573926,VST-93112077,Joshua,Burnett,618-43-7523,2025-04-23,M,54684 Colleen Corners Apt. 703,Marioside,CO,79687,+1-402-931-5799x005,patricia85@gmail.com,Kaiser Permanente,X77313382,GRP4018,2024-08-28,2024-09-02,Dr. Howard,Martinshire General Hospital,M54.5,M54.5,73444,Simvastatin,LAB-0788314,A+,Patient strictly confidential. HIPAA Protected.
d7b4cae0-47f2-413c-a3be-09ebfd084c1f,8179334,VST-21124762,Kelly,Luna,472-39-3601,1988-09-08,M,147 Hancock Rest Apt. 748,East Tracyberg,PA,73485,505.524.8598x14219,kpetersen@yahoo.com,Humana,X59244905,GRP1859,2024-10-01,2024-10-07,Dr. Love,Doughertymouth General Hospital,E78.5,R05,16176,"Sertraline, Losartan",LAB-9869698,AB-,Patient strictly confidential. HIPAA Protected.
d2af5e79-3d2d-4bb8-9055-9cbd7959849d,2459737,VST-16382194,Keith,Hicks,400-34-5813,1966-10-19,M,90118 Navarro Ports,Lake Laurenmouth,AZ,98024,8449098101,karlbender@hotmail.com,Medicare,X50853539,GRP6101,2025-01-11,2025-01-16,Dr. Hernandez,Christopherchester General Hospital,J44.9,K21.9,71835,"Sertraline, Metformin",LAB-2644083,O+,Patient strictly confidential. HIPAA Protected.
e0c4fd19-1de7-4a36-ba47-332a66153bf0,2619446,VST-24816973,Matthew,Romero,230-05-6285,1965-02-02,F,8637 Mullins Drive,New Jessica,NH,74532,898-726-9741x77065,johnsonronald@hotmail.com,Blue Cross Blue Shield,X53394070,GRP6591,2025-03-02,2025-03-11,Dr. Banks,Hernandezton General Hospital,M54.5,E11.9,87374,"Simvastatin, Levothyroxine",LAB-9937193,O-,Patient strictly confidential. HIPAA Protected.
f6b108f4-0bb6-4532-bbb1-e382c3f2a608,9109000,VST-91613163,Matthew,Thornton,311-48-0575,1964-10-17,F,02387 Jesus Mountain Apt. 644,Christopherbury,DE,48922,445.270.3555,timothyhunter@yahoo.com,Cigna,X08613653,GRP6543,2024-04-30,2024-05-02,Dr. Harrington,Lake Jasontown General Hospital,B34.9,M54.5,10747,"Amlodipine, Gabapentin",LAB-2749316,O-,Patient strictly confidential. HIPAA Protected.
c5ed26c5-59dd-4dac-a8ad-5bb2327405dd,5756855,VST-87066194,James,Young,798-24-1676,2017-10-07,M,7261 Cindy Crest,West Debrahaven,FM,04845,9035087930,gibbsalyssa@yahoo.com,Medicare,X76283301,GRP7826,2025-09-03,2025-09-07,Dr. Wright,South Tracitown General Hospital,R05,E03.9,61153,"Lisinopril, Atorvastatin, Albuterol",LAB-8705907,B-,Patient strictly confidential. HIPAA Protected.
c3353788-6ff3-4cf0-830b-4877faaed97c,8009808,VST-71882156,Ashley,Saunders,715-77-6349,1972-09-05,F,83060 Davis Avenue,East Kellytown,AZ,62893,919-491-5912x38300,jamesjohnson@gmail.com,Kaiser Permanente,X58303346,GRP6017,2025-11-24,2025-12-01,Dr. Martinez,Colleenside General Hospital,K21.9,F41.1,80434,Atorvastatin,LAB-5624989,AB-,Patient strictly confidential. HIPAA Protected.
ebbdf5a8-39d5-4fb5-9fde-4d3f3f4b5a96,4680785,VST-49766999,Sandra,Nguyen,632-02-3433,2013-10-19,M,90009 Gibson Mountains Suite 549,Mcbrideshire,WY,60519,793-542-3022x45210,hernandezfrank@hotmail.com,UnitedHealthcare,X38799528,GRP6463,2025-10-29,2025-11-03,Dr. Jones,Murrayland General Hospital,J44.9,Z00.00,91920,Hydrochlorothiazide,LAB-4828609,O+,Patient strictly confidential. HIPAA Protected.
2343a62e-c081-42e9-8fbe-99a9d7ce9f08,5608502,VST-87215213,Cassandra,Clark,015-30-1532,1972-09-21,F,794 Pugh Views,West Heidiburgh,AZ,42846,(394)806-6131,theresabailey@hotmail.com,Humana,X34296942,GRP6710,2024-08-23,2024-08-28,Dr. Solomon,Lake Michael General Hospital,J44.9,E11.9,43754,Levothyroxine,LAB-3862858,B-,Patient strictly confidential. HIPAA Protected.
71ea7af0-adba-40d0-a82c-83d2eef33890,3473056,VST-98003283,Dawn,Hernandez,453-94-4943,2006-08-09,M,697 Ellis Views Apt. 802,Marisaport,AK,09097,(276)557-1170x105,patrickjames@hotmail.com,Medicaid,X60565874,GRP2456,2024-03-28,2024-04-07,Dr. Pineda,Brownton General Hospital,M54.5,E78.5,52970,Omeprazole,LAB-5791995,A+,Patient strictly confidential. HIPAA Protected.
f8bdd3d5-e04e-4219-9668-f479646c746b,4982693,VST-73484647,Jerry,Miller,711-97-4955,1956-09-24,F,62295 Vincent Meadows,East Robert,ME,63772,479.873.0413x09109,veronicakramer@hotmail.com,Medicaid,X56042834,GRP5557,2025-04-10,2025-04-18,Dr. Garcia,Port Jason General Hospital,Z00.00,I25.10,51006,Omeprazole,LAB-7249157,A-,Patient strictly confidential. HIPAA Protected.
b5b809df-34c3-46ea-a321-5d09f5a6a9ff,9348460,VST-87528317,Kathleen,Odonnell,024-13-5344,1991-04-21,F,32659 William Squares Suite 130,New Jeffreyborough,WA,63499,(603)374-1986x0855,rhicks@hotmail.com,Medicare,X33824796,GRP6454,2025-09-30,2025-10-08,Dr. Brown,Elizabethhaven General Hospital,K21.9,Z00.00,46021,Sertraline,LAB-7923332,O-,Patient strictly confidential. HIPAA Protected.
ff8d67b3-f80a-4231-8763-ed0137e19ecf,2705561,VST-41213185,Danielle,Steele,578-27-0962,1935-04-22,M,199 Jennifer Expressway,North Aaronberg,KY,84824,807.878.3173,barnesgregory@hotmail.com,Blue Cross Blue Shield,X80780959,GRP4341,2024-08-04,2024-08-07,Dr. Carr,Smithchester General Hospital,I10,R05,15229,"Metoprolol, Furosemide",LAB-7611197,O-,Patient strictly confidential. HIPAA Protected.
188ba766-29a2-445c-b765-8f313d53ebb2,8783425,VST-49722830,Nathan,Hoffman,791-44-1340,1991-01-24,F,631 Dyer Trail,Alexanderchester,GU,90169,(262)623-7333x845,raymondmills@gmail.com,Blue Cross Blue Shield,X87578531,GRP9013,2025-04-13,2025-04-18,Dr. Wells,Hayesstad General Hospital,E11.9,B34.9,16521,"Metoprolol, Hydrochlorothiazide",LAB-6464117,B+,Patient strictly confidential. HIPAA Protected.
22c8a255-bb1e-402d-a945-2cec510e1319,1149402,VST-99483616,Kim,Mckenzie,412-70-5267,1965-03-06,F,996 Bryant View,Ruizburgh,UT,31730,295.627.0756x64750,jwilkinson@yahoo.com,Medicaid,X76931121,GRP7116,2024-02-23,2024-02-28,Dr. Guzman,Zimmermanfurt General Hospital,E78.5,K21.9,39793,"Omeprazole, Sertraline, Amlodipine",LAB-7699991,O-,Patient strictly confidential. HIPAA Protected.
8020e60e-b8cd-4fd2-98b3-f87b1d0d489d,9765090,VST-33555243,Cynthia,Johnson,602-45-0293,1997-10-06,M,448 Glass Mall,Julietown,VT,18171,001-927-381-7651,sean55@yahoo.com,UnitedHealthcare,X15755197,GRP2563,2025-02-06,2025-02-15,Dr. Rasmussen,Mayerborough General Hospital,Z00.00,R05,58739,Gabapentin,LAB-7920656,A-,Patient strictly confidential. HIPAA Protected.
9e80a998-87a0-47ce-9257-1b6388599f65,1182746,VST-85963967,Daniel,Johnson,201-63-1624,1936-09-10,M,89502 Armstrong Throughway,Lake Marissamouth,MP,02890,(493)738-0401,youngjonathon@gmail.com,UnitedHealthcare,X08590649,GRP4265,2026-02-04,2026-02-06,Dr. Wood,Smithberg General Hospital,F41.1,Z00.00,19293,"Albuterol, Atorvastatin, Lisinopril",LAB-3446589,AB+,Patient strictly confidential. HIPAA Protected.
ac6f0973-1090-41b5-b74a-a3a0c7d899e9,6782323,VST-98809555,Rachel,Davis,687-62-6520,2013-03-22,F,93964 Vincent Freeway,Davidmouth,AL,96404,+1-963-583-4376x136,vpena@yahoo.com,Kaiser Permanente,X64583998,GRP8071,2026-01-07,2026-01-11,Dr. Martinez,Garciamouth General Hospital,F41.1,N39.0,73232,Furosemide,LAB-7818470,A+,Patient strictly confidential. HIPAA Protected.
615efd50-7b1a-4b50-908e-c8ea8aae2e1e,2629005,VST-63789545,Victor,Armstrong,844-96-5769,2004-03-06,M,4540 Kimberly Junctions Suite 632,East James,HI,33408,523-815-7898x9807,johnny36@hotmail.com,Aetna,X45717860,GRP3607,2024-10-16,2024-10-19,Dr. Taylor,South Marktown General Hospital,I10,R05,31772,"Furosemide, Gabapentin",LAB-3716286,AB+,Patient strictly confidential. HIPAA Protected.
5da4248e-e2d3-40e9-99b3-7179123a34ea,6041490,VST-39215910,Alexa,Calderon,210-01-9923,1997-03-20,M,44719 Dawn Prairie Apt. 742,Lake Christinamouth,MP,20554,700-867-3778x66637,steven95@hotmail.com,Kaiser Permanente,X76212565,GRP2194,2024-11-21,2024-11-26,Dr. Lee,Brooksborough General Hospital,I10,Z00.00,44303,"Gabapentin, Hydrochlorothiazide, Albuterol",LAB-4876208,A-,Patient strictly confidential. HIPAA Protected.
1c0766a4-0417-4867-887e-7be90302b925,4858970,VST-62828106,Daniel,Zamora,132-28-0492,1948-11-20,F,25502 Johnson Oval Apt. 736,Lake Keithberg,AS,73139,+1-404-386-1259x8936,georgemoreno@yahoo.com,Aetna,X01038296,GRP1934,2025-09-06,2025-09-07,Dr. Turner,Gonzalestown General Hospital,E03.9,M25.50,22777,"Losartan, Metformin, Simvastatin",LAB-6254124,O+,Patient strictly confidential. HIPAA Protected.
b1182822-7f6d-4842-bd4f-21b1c1de6444,2273199,VST-95147198,Katherine,Harris,252-18-8750,1950-03-28,M,434 Gonzalez Summit,North Derekmouth,ND,67644,(572)780-6879x52678,xjacobs@gmail.com,Humana,X58353733,GRP6631,2025-07-07,2025-07-16,Dr. Burch,South Jonathanside General Hospital,B34.9,M54.5,55671,"Levothyroxine, Albuterol, Hydrochlorothiazide",LAB-4423285,A-,Patient strictly confidential. HIPAA Protected.
