Transaction_ID,Transaction_Date,Value_Date,Posting_Date,GL_Code,Cost_Center,Department,Vendor_ID,Vendor_Name,Vendor_Tax_ID,Invoice_Number,Purchase_Order_No,Currency,Amount,Payment_Method,Bank_Name,Bank_Branch_Code,ABA_Routing,SWIFT_BIC,IBAN,Account_Number,Beneficiary_Name,Remittance_Info,Credit_Card_Number,CVV,Card_Expiry,Approval_Code,Internal_Risk_Score
427bc05f-fd0c-4cc2-bfb1-3339487cb961,2025-12-22,2025-12-23,2025-12-24,3240-48-APAC,CC-794,responsable qualité en agroalimentaire,VND-93222,Myers LLC,12-4676160,INV-777641,PO-6994,VND,36537.4,Wire Transfer,Deutsche Bank,915,019615499,LTKIDEE0,GB93SRYK09030814367421,801827945391992336,Guy Lacombe,Pay member heart medical trouble.,,,,aP9809,Critical
5b186461-1949-438d-a918-e6c0ced5b687,2025-12-21,2025-12-23,2025-12-28,4986-96-EU,CC-418,Forstwirt,VND-74625,Richard Meyer et Fils,46-9419531,INV-179366,PO-9465,TVD,7989.9,Check,Morgan Stanley,221,105887539,RGRBFRMF,DE22479972740955946928,78473148143382853950928,Dr. Hannah Mielcarek B.A.,Exercitationem in dolorum.,,,,re2757,Critical
8096e520-dc50-4d0e-b25c-dc7d957b8ca4,2025-10-14,2025-10-15,2025-10-16,7352-54-APAC,CC-238,Environmental manager,VND-65589,Laroche SARL,45-1932372,INV-766544,PO-9588,BZD,18718.59,Credit Card,Banco Santander,774,091673789,OAYVFRLC4CZ,DE71728473294344995041,RRCU61299697917908,Auguste-François Boulay,Source garden the join later.,2363227830854747,882,09/35,oM8898,Medium
0b744b94-1377-458f-ae46-79135ae1a149,2025-03-11,2025-03-12,2025-03-12,2317-36-APAC,CC-476,déclarant en douane,VND-45180,Barthelemy S.A.,20-5191616,INV-660146,PO-8978,TVD,48351.06,Wire Transfer,Deutsche Bank,466,115214943,AEPNDE1V,FR6776742889806661029360477,VHNO07683380112392,Stacy Carter,Ich Eis sieben her gewinnen Milch.,,,,kJ2488,Low
b30b61e3-3851-4796-8b7d-af0df4adda45,2025-06-02,2025-06-04,2025-06-08,4256-37-APAC,CC-100,Ausbaufacharbeiter,VND-85578,Macdonald PLC,77-7362326,INV-854621,PO-7119,XCD,41416.48,Check,Toronto-Dominion Bank,992,026536192,NGLEGBV2Y1T,GB70MYFP19658926440881,RPID38441796267085,Ryan Harper,Section behind I decide.,,,,vH2666,Medium
fe1a2feb-1bbf-4658-88a5-70ef746449af,2025-06-29,2025-06-29,2025-07-02,6906-89-APAC,CC-227,Artist,VND-22999,Lange,72-7244281,INV-822441,PO-6125,AWG,17745.04,SEPA,Commerzbank,141,107339904,FGYZDEWZOG2,GB63KVLV32415088540420,77044176129359008696497,Audrey Lévêque,Fine aucun as signer tâche.,,,,Yy8543,Medium
ea5ae9d4-5d59-4449-8489-87703918f5a5,2025-03-14,2025-03-14,2025-03-18,2839-42-US,CC-797,technicien paysagiste,VND-44756,Gordon-Diaz,53-2503795,INV-813555,PO-6040,IRR,14551.29,Credit Card,Lloyds Banking Group,276,051005397,UORCDEPX0L0,FR3272357912864818748688542,36070852484300822195684,Benoît Langlois,Trip put staff.,4253016107042121,200,07/30,yG1349,Critical
2e457ceb-f4e5-4e26-81c5-606f599cbb97,2025-07-01,2025-07-02,2025-07-02,2320-49-APAC,CC-960,boucher,VND-87261,Hiller,42-8593866,INV-105867,PO-5627,UZS,47074.64,Wire Transfer,Lloyds Banking Group,840,030029420,BCIXFROQ,DE34041355427758706131,RAWB54019304627287,Franck Pruvost,Trip degree exist.,,,,eQ5402,Critical
1e077ac3-16de-414a-bddc-96abfabcd919,2025-10-26,2025-10-28,2025-11-01,2198-19-EU,CC-102,Illustrator,VND-71051,Pascal,25-2806437,INV-977585,PO-8177,KHR,38735.38,Wire Transfer,Goldman Sachs,990,023263510,QXNODEEQ,DE71068548863150119042,420324453825909806,Jean Hicks,Peser précéder chat tirer tout aspect.,,,,WF7418,Critical
bfbcfb19-c7fb-4615-a9c4-a16da6757bfa,2025-02-13,2025-02-14,2025-02-14,4081-33-EU,CC-786,Clinical biochemist,VND-10774,Lindner GmbH & Co. KG,21-5645373,INV-902602,PO-8003,VUV,14756.57,ACH,Morgan Stanley,232,011112916,LBGNGB6WP2F,GB58XEJG33861776572902,308182190207973953,Andrea Martinez,Quam quasi officiis.,,,,uV0185,Low
9f67f1a6-2085-4d05-a129-9924bb2be145,2025-11-26,2025-11-26,2025-11-26,3070-75-EU,CC-362,mécanicien-réparateur en matériel agricole,VND-93466,"Wood, James and Garner",05-6832106,INV-609831,PO-5468,FJD,28930.72,Credit Card,Morgan Stanley,945,125878845,PLKKGBKCREZ,GB48TJDH59865278000154,428687066801856824,Ludwig Ditschlerin,Eligendi nostrum earum vero.,38582890624334,740,07/35,lp0679,Critical
cf3e1ebc-deda-40e5-9745-925309c112c1,2025-08-13,2025-08-15,2025-08-16,5322-51-US,CC-678,Counsellor,VND-81667,Moore Ltd,21-5884050,INV-405628,PO-8527,BHD,18924.18,ACH,HSBC Holdings,692,111375174,UHWUDENMQQ5,GB30XYOJ74280794625429,SEOK78256678401364,Diethelm Wagenknecht B.Sc.,Approcher voyage distance beau.,,,,gj2295,High
95c2542c-8a21-4235-b1f8-7ccabf1482ec,2025-04-18,2025-04-19,2025-04-22,3500-32-APAC,CC-481,ingénieur en fonderie,VND-20186,Michaud SARL,39-8533463,INV-551159,PO-9540,LBP,43169.59,Credit Card,Toronto-Dominion Bank,301,043081442,XCNXGBKY,GB30OKAB23321418568831,35278695098632429797622,Shirley Barker,Much ask example opportunity public value.,3589094962433898,971,10/34,oY9579,Critical
617035dc-3d8b-4c12-91b1-7f86c91585de,2025-10-09,2025-10-09,2025-10-13,1996-94-EU,CC-601,Research scientist (maths),VND-42682,Campbell LLC,58-5833132,INV-773686,PO-6726,SBD,42904.1,Wire Transfer,Deutsche Bank,122,090548200,PNCFFRK21TV,GB43YOXN89649900515382,TWJL72844962337746,Jason James,Trip natural stock agent together.,,,,ey9227,Medium
c6097a84-9f40-4a5c-8c97-752722388b15,2025-05-08,2025-05-09,2025-05-12,5880-61-EU,CC-135,Charity officer,VND-40278,Kühnert Fritsch Stiftung & Co. KGaA,95-8648046,INV-320136,PO-7927,CNY,42007.28,Check,Banco Santander,767,079873611,SMWVDEF59RB,GB29DVTJ60361825283503,278709616764912878,Bethan Begum,Eight or they work accept.,,,,Ta9049,Critical
e7a31a79-f820-4fa0-bb5c-63b36a1e112a,2025-03-05,2025-03-06,2025-03-08,2406-33-APAC,CC-995,Hospital doctor,VND-74894,Garnier Guichard et Fils,51-0556709,INV-690795,PO-7497,JOD,31835.78,Check,JPMorgan Chase,623,120847363,CACXFR7R,GB82BCZU94807607600507,185176978125183383,Aurélie Thibault du Thibault,Haare los Essen denken sein erklären.,,,,Ie3840,High
1d3c042a-cd46-49e8-ad92-7f0cce696f63,2025-04-23,2025-04-24,2025-04-24,5943-96-APAC,CC-451,Drogist,VND-62975,Marie,64-2977863,INV-429422,PO-8447,EGP,30740.9,Wire Transfer,Toronto-Dominion Bank,479,037741332,QEVKFRHPMH2,FR4414024215927345987813182,QQGZ97025887763803,Jo Cook,En village tôt.,,,,mX8525,Medium
20e8af30-bcde-43e6-b248-cf3defa0bb38,2025-09-10,2025-09-10,2025-09-14,3792-16-APAC,CC-422,gouvernant,VND-29998,"Lee, Cameron and Davies",27-4184082,INV-746986,PO-7341,ZMW,26396.8,Wire Transfer,Royal Bank of Canada,267,095616975,KUNYGBZM,FR6253279175725024159269289,76224728483199611179967,Luke Patterson,Perhaps sing full.,,,,QI4601,Critical
ada8fabe-f3c1-4e7a-adfd-982b654e29b0,2025-08-09,2025-08-09,2025-08-14,6795-28-APAC,CC-112,Pilot,VND-35265,Gilbert-Abbott,61-6623896,INV-148365,PO-7997,LKR,47310.76,Credit Card,NatWest Group,447,063150188,IKARGB5D,FR9764236087875765377985175,WJBP48259004427773,Dr Andrew Rowley,Less old project.,4699278306938838,053,08/32,tM8575,Critical
196c863b-8341-4c4f-961b-bf3f74e65ab5,2025-10-14,2025-10-14,2025-10-16,7475-84-US,CC-748,chef des ventes,VND-27881,Garnier,47-5888389,INV-814374,PO-9454,TJS,22130.47,Credit Card,Crédit Agricole,269,063349287,WZVUFR3Y,GB24KQZO79946608688792,602109498319837834,Herr Frithjof Carsten,Ou brusquement couleur aussi difficile.,30170680718967,339,09/34,Vo8059,Critical
5b8677df-65dc-4ffc-b659-da8bd7d5c7d1,2025-10-26,2025-10-28,2025-10-31,4454-50-EU,CC-408,Actuary,VND-93696,Smith-Ellis,27-0853300,INV-555685,PO-8333,ARS,47591.35,Wire Transfer,UBS Group,274,083473609,RXBGFRMD,GB36HVQE20710742891958,521808336636927777,Erika Jüttner B.A.,Call writer meeting.,,,,MM4745,Medium
2b80ec0e-3bd2-4746-948e-2880fbdea179,2025-03-15,2025-03-16,2025-03-17,2204-66-EU,CC-367,couvreur,VND-57768,Marshall Inc,43-9083375,INV-929477,PO-9679,BSD,44296.68,ACH,Goldman Sachs,784,012453933,EXJGDEUK,GB50EHOW80738738322696,HRQE75697993442995,Christopher Alexander,Oui fortune côte habiller petit choix.,,,,Kn3523,Low
3729526d-380b-4696-8d76-269e4dc42f43,2025-11-16,2025-11-17,2025-11-19,2723-93-APAC,CC-448,Manufacturing engineer,VND-75483,"Graves, Gonzalez and Patrick",82-6569862,INV-395716,PO-8045,AUD,8368.22,Wire Transfer,Lloyds Banking Group,928,028914916,FQKXFR9EB26,DE79351992376771017309,16893713472725105378213,Alice Weber du Rey,Nennen sicher Ding schreiben schauen beim.,,,,Ol9057,Low
256ce388-e416-4d9e-b843-5450012ca3a1,2025-12-01,2025-12-03,2025-12-04,6028-30-APAC,CC-958,Games developer,VND-41252,Albert Hervé S.A.S.,02-8275526,INV-291568,PO-9185,PEN,14731.71,SEPA,Royal Bank of Canada,971,066604084,FJQLGB7M,DE36260293813396226413,XWTJ18177808295672,Marine Maillot Le Marion,Aucun ombre maladie oiseau poète quinze.,,,,io8473,Medium
8dc286a9-b2e9-4d9d-8bdb-20bc3824dd6e,2025-02-11,2025-02-13,2025-02-17,2639-71-APAC,CC-311,"Exhibitions officer, museum/gallery",VND-24382,"Morrow, Howell and Garcia",15-6392483,INV-511363,PO-9285,XOF,47214.1,ACH,Deutsche Bank,733,096547881,ZIFKGB5MUU3,GB29PIUB59625745476812,155406281722904060,Richard Alves,Imagine someone leg animal.,,,,ve0381,Medium
003ce778-1975-4c64-9035-fd6ab2f77c4e,2025-11-02,2025-11-02,2025-11-04,1894-33-US,CC-719,"Clinical scientist, histocompatibility and immunogenetics",VND-13890,Jean,63-1969520,INV-392544,PO-7079,LRD,31940.39,Check,BNP Paribas,606,124872295,WYOVGBHN,DE71427150020339824085,50228823664943483797389,Carrie Ross,Dolorum vitae consequuntur alias assumenda at.,,,,Jn7032,Low
89d1bb79-57d5-4eb0-bd09-1aa7b2109cf9,2026-01-11,2026-01-13,2026-01-14,6079-65-EU,CC-701,Field seismologist,VND-54623,"Clarke, Hancock and Bray",48-6520117,INV-700219,PO-5888,UZS,47645.22,Wire Transfer,Goldman Sachs,431,039429021,ZNBBFRJY,FR9458035039887082020492123,529054255182694449,Roland-Benjamin Le Roux,Erschrecken Monate Musik rufen später.,,,,OL9607,Medium
528c7548-2c6e-4c26-89c1-27b99140cad2,2025-07-20,2025-07-21,2025-07-26,1291-80-EU,CC-779,"Librarian, academic",VND-38008,Daniel,92-3075600,INV-575938,PO-8912,MRO,34011.82,ACH,Banco Santander,887,107829508,NXHQGBNR,GB58ATMR03898058424586,QAAM59039094231662,Ben Taylor,Quisquam modi nobis neque.,,,,Eh5617,Low
05de2acf-d108-4ec5-bd0b-e629e50460a7,2025-03-28,2025-03-28,2025-04-01,7213-98-APAC,CC-629,Energy engineer,VND-18715,"Black, Henderson and Parker",38-1512527,INV-475749,PO-7308,KZT,17947.32,SEPA,Goldman Sachs,559,055082691,IIBSGBEH,GB21QLNL59667643228265,RAOL83636887016337,Margaret Prévost,Chemise genre éloigner lit secours coin.,,,,CS6975,High
737747bb-99eb-47b9-b09b-cf0cf7f0456a,2025-05-30,2025-05-31,2025-05-31,6391-29-APAC,CC-914,Medizininformatiker,VND-86895,Werner AG & Co. OHG,72-2092744,INV-409688,PO-8539,HUF,34676.7,Credit Card,Credit Suisse,349,075656010,XZJQGB73T2R,DE96939258784450167150,UHHV76601682972588,Joseph Roger,Wir fangen treffen erst der.,4773987358121759,8870,09/27,aL0421,Critical
8271426a-b9ec-48f2-952f-194c0de38170,2025-02-23,2025-02-25,2025-02-27,5911-72-APAC,CC-770,Higher education lecturer,VND-89481,Wernecke KG,91-4366938,INV-762486,PO-9495,JPY,15244.41,ACH,HSBC Holdings,553,120108659,BFNQGBVK,FR6728384753537538089013399,GQLQ78293004966596,Leigh Banks,Poste expérience tombe ramasser.,,,,HW2267,High
6ffee9ac-2bab-47e2-995c-d301ea12121d,2025-11-16,2025-11-16,2025-11-20,6583-34-EU,CC-736,Systems analyst,VND-84444,Dupont S.A.,34-4190342,INV-930265,PO-9140,BWP,41534.16,Check,Morgan Stanley,709,035978754,LAVOFRT5,DE79757986205114374614,816566547807880865,Craig Weaver,Autem tenetur explicabo.,,,,Gx5793,Critical
6e1a160a-3dee-4af7-b883-cf890dc5ebe4,2025-02-05,2025-02-07,2025-02-09,4033-38-EU,CC-892,Accounting technician,VND-40333,"Cain, Gay and Davis",11-3129426,INV-688798,PO-6930,MZN,39641.96,ACH,Morgan Stanley,873,120273089,QUGRGBYPENG,FR2415306901233097482235782,19103584621721649388036,Denise Laine,Eaque nobis doloremque.,,,,Rm0413,Medium
4652c333-d26e-463a-b1b5-535248a55045,2025-12-05,2025-12-05,2025-12-06,1620-36-APAC,CC-863,garde à cheval,VND-72035,Kirk-Smith,80-9421137,INV-693359,PO-6530,ZWD,28091.18,ACH,BNP Paribas,436,085869936,URLFDES7EPG,GB34IIAH80544710387393,XCAU35391401601479,Lisa Richardson,Born billion black.,,,,ra3537,Low
b1ae5ef3-cfc9-4623-8191-fe1aa56a4f35,2025-11-10,2025-11-10,2025-11-14,7013-14-US,CC-803,auditeur interne,VND-51982,Ramirez and Sons,21-6963164,INV-947183,PO-9800,MRO,19564.05,Wire Transfer,Commerzbank,895,110963561,DMYAGBX8JD2,GB21NHQP97692263706305,XACM64903567619437,Mr Julian Gibson,Respect rêve ton cou point.,,,,Oz8836,Medium
e08dd3cd-1d24-4c06-91b4-9594323041e4,2025-02-28,2025-03-01,2025-03-03,7322-74-APAC,CC-730,Industrial/product designer,VND-46271,Foster-Gibson,59-1298180,INV-927387,PO-9752,GMD,5859.82,Check,HSBC Holdings,863,059282934,NIKCGBKD7MV,DE20469172423140488249,84174381731500398305033,Ing. Bert Davids,Present event any my American.,,,,SV6372,Medium
2afb00cf-dd1d-4253-93f0-7cefb07b6ff1,2025-08-07,2025-08-07,2025-08-11,4749-91-EU,CC-726,"Designer, jewellery",VND-63371,Menard Fernandes SA,77-9407977,INV-168014,PO-5257,AED,8807.87,SEPA,Royal Bank of Canada,907,084294492,OUKBFRKT1VJ,DE09041324890876940724,ULNK87085194011937,Marianne Bourgeois du Monnier,Labore voluptatem rerum labore culpa similique.,,,,CN5322,Low
fe191808-be81-4e1b-9b90-9a3b4aeeca8d,2025-10-25,2025-10-27,2025-10-30,7458-62-EU,CC-213,officier de la marine marchande,VND-48852,Klemm Freudenberger GmbH & Co. KGaA,66-3972082,INV-130848,PO-8505,UZS,35461.91,Credit Card,Crédit Agricole,417,032318692,PTQPGB81NB3,DE29227286951157621239,118179196023556757,Alain Costa-Caron,Across city could store.,502045135956,198,06/34,fn3147,Critical
55f866ab-ebfb-4428-8b99-ffdc728691ce,2025-04-25,2025-04-27,2025-04-27,6270-27-US,CC-909,conducteur de bus ou d'autocar,VND-96050,Kim-Williams,38-7235787,INV-522197,PO-9718,ZMW,13117.19,Credit Card,Royal Bank of Canada,149,027113718,WDSZGBW5,GB02OMZN99711123185493,335946610826618951,Martine Chartier,Réponse vers connaissance frais.,4372039185898559102,566,04/31,da8615,Critical
67ae6aa7-2531-4242-85d1-a51fea2b8fec,2025-04-27,2025-04-29,2025-04-30,5864-16-US,CC-469,"Education officer, community",VND-15502,Mentzel GbR,82-8698975,INV-736464,PO-9506,SOS,16891.51,Credit Card,Bank of America,357,077568436,PJBLGBGV4X4,FR4825922823947037166030261,37410436102123438780780,Allan Grant,Write from vote success.,639086004954,3905,10/30,mz7805,Medium
d8329f3d-3850-451e-89a7-26744a9c23c2,2025-06-24,2025-06-24,2025-06-26,6602-20-US,CC-361,Drogist,VND-74884,Long-Wagner,58-7170485,INV-555316,PO-7511,NIS,47784.1,ACH,Citigroup,885,018883727,LAUYGB5HOAP,DE74362410887590969955,279435751236622922,Sami Söding,Kam las Oma.,,,,ti8658,Critical
c1eb3fc1-36cb-480e-a169-069de018acd9,2025-12-31,2025-12-31,2026-01-01,3363-31-EU,CC-828,Medizininformatiker,VND-85504,Fernandes Antoine S.A.R.L.,74-4124889,INV-550665,PO-8005,AZN,4084.97,Wire Transfer,NatWest Group,750,030508585,NYYFDEDTGET,GB23HGLV69080544959447,OLTD77212070328740,Adèle Bonneau de la Evrard,Much political contain card trip.,,,,xH0038,Critical
808f7aa2-f87c-437c-9073-ede9329febf7,2026-01-11,2026-01-12,2026-01-12,3492-54-US,CC-442,Production manager,VND-74295,James-Hill,64-0530958,INV-440130,PO-9067,AED,8511.95,Credit Card,Commerzbank,905,068882325,ARUOFRAABRH,GB04QJTP02872067949831,059942038959615999,Wolf-Rüdiger Fischer,To leader perform indeed choice.,4787196536435,043,04/35,rX8814,High
3d19a8cc-50aa-4d89-a851-aeb9493118e8,2025-02-07,2025-02-07,2025-02-12,6531-84-US,CC-765,"Scientist, water quality",VND-72600,Ruppert,25-8292209,INV-656480,PO-5189,TTD,11638.76,Wire Transfer,Bank of America,895,052120705,AWYQDE2SG1W,GB33LBDE27536499841831,33237103004139735484292,Arthur François,Nämlich schlecht kochen.,,,,Bk9161,High
ee6d8895-1f39-4b71-9183-ca9792eb1610,2025-09-13,2025-09-13,2025-09-18,1128-90-APAC,CC-805,astrophysicien,VND-99696,"Woodward, Dixon and Lucas",10-8648427,INV-412739,PO-6109,TJS,22354.62,ACH,Bank of America,180,065673045,MKWRFRMW,FR5219114512081498637541136,90573615579375626629390,Joseph Decker,Better history system close offer.,,,,Wd7212,Critical
6fe6b8c9-c5dc-4407-9427-fc6a4e13450a,2025-06-06,2025-06-06,2025-06-06,1833-54-APAC,CC-942,Television camera operator,VND-12510,Hermighausen,23-1215384,INV-491853,PO-7396,AZN,15901.46,SEPA,Citigroup,197,128000487,OIBYFR0FM1A,GB45HVXR58776145910020,588615138685408453,Mr. Robert Jones,Corrupti vero reiciendis soluta.,,,,UP5727,High
ee664465-93ae-4d5c-9d85-be86bddb43ff,2025-10-23,2025-10-25,2025-10-25,5865-68-APAC,CC-641,Technical brewer,VND-11845,Roche,86-4574198,INV-376373,PO-9245,AMD,27214.17,Wire Transfer,Société Générale,789,067123344,PVPXFRUI,DE94446735133956128985,55475001860938449719289,Elizabeth Jensen,Kam werfen brauchen Uhr auf.,,,,fz9671,Low
17ec9cb4-d294-41b3-945b-60f19749c745,2025-08-09,2025-08-11,2025-08-12,7608-68-EU,CC-368,Arzt,VND-22653,Jones-Hardy,26-7370912,INV-809275,PO-8021,TOP,3649.48,ACH,Barclays,686,071381907,APWEDEWW,GB77BAGD19404221277454,81594897727685320349291,Dipl.-Ing. Raphaela Rädel B.A.,Summer seat last offer.,,,,vR4004,High
e7a40b5b-370e-46a7-b2e5-dd6216308086,2025-12-03,2025-12-05,2025-12-10,3370-82-APAC,CC-431,Techniker,VND-78037,Ruppersberger GmbH,35-3796541,INV-925168,PO-6601,OMR,11639.79,SEPA,UBS Group,234,112839266,LMSHDE7M,GB33RGGX62612520514269,051281456299623607,Jamie Walsh-Taylor,Praesentium laboriosam illo explicabo iure.,,,,LZ9139,Medium
4408907f-3181-4a5d-aa27-cac9bdad068c,2025-07-05,2025-07-05,2025-07-09,3736-99-EU,CC-364,barman,VND-32804,"Young, Cross and Mckee",81-4260635,INV-849482,PO-9760,TTD,37506.71,ACH,Banco Santander,547,108881529,RMKJFRY052O,GB31VPTZ55101039620999,ETDJ48135014287316,Katherine Forster,Famille folie respect nommer garçon.,,,,kY3212,Medium
1613c134-ae68-4b40-aa43-b95c9bf0fcde,2025-08-19,2025-08-20,2025-08-20,3003-37-US,CC-473,Adult nurse,VND-68206,Fuentes Group,77-0632923,INV-961031,PO-7371,BYR,13252.43,SEPA,Credit Suisse,995,086657600,CYBSGB2N,DE94079337524061868366,783306576485520454,Mariusz Berger,Fond jeunesse engager papa son.,,,,fy2520,Low
7ebdc1cd-5077-4dfb-a8ab-efa38e852b6a,2025-03-25,2025-03-27,2025-03-29,6321-46-APAC,CC-324,Clinical research associate,VND-53552,Garrett-Swanson,55-8038155,INV-656035,PO-5507,VND,19759.96,SEPA,BNP Paribas,582,036387425,TTVVGBNF1N2,GB37ZXPB21281435477479,613880139852578649,Agnès Fernandes,Cesse manger terminer vite.,,,,hx3985,Medium
0a05261f-f74b-4218-b436-cc79977e048f,2025-06-08,2025-06-10,2025-06-13,4472-63-EU,CC-148,Friseur,VND-10878,Parker-Smith,75-7908524,INV-399592,PO-8732,GBP,46825.44,ACH,HSBC Holdings,827,046937580,ABBTDEPO,DE09903031810012813040,606170742199615361,Zacharie-Gabriel Munoz,Vitae inventore iure molestiae atque quidem.,,,,Ua4462,High
833cccd1-3722-437c-8bcf-41302b794617,2025-06-24,2025-06-24,2025-06-29,3616-14-US,CC-339,Krankenschwester,VND-83586,Huet Marion SA,39-7037602,INV-156813,PO-5123,CAD,32021.76,Check,Goldman Sachs,979,052167878,REZBGBE2Q22,FR7628147662164969649514241,299339059125731674,Charles Waters,Mr inside believe.,,,,OM4432,Low
e4359d7e-1e38-4579-9011-ecfab1efd272,2025-05-29,2025-05-31,2025-06-02,5099-47-APAC,CC-128,Drogist,VND-11878,Koch II Conradi Stiftung & Co. KG,66-1508762,INV-807688,PO-6339,HUF,4088.1,Wire Transfer,NatWest Group,422,060919144,WSRUDEWZ,GB54SXLY90730070590363,WROY77814568886150,Lindsey Armstrong,Année autant digne secret clair.,,,,dZ3229,Critical
ef7c1d9c-a934-4449-a358-8e3fb41db329,2025-12-09,2025-12-10,2025-12-13,5233-35-APAC,CC-563,ingénieur écoconcepteur écoconceptrice,VND-30024,Sölzer Trub AG & Co. OHG,43-4479251,INV-990926,PO-7471,KYD,21694.21,ACH,Goldman Sachs,860,060308881,SHZYGBPYAON,GB06NQBL18936997168943,OCTV43263599781426,Jean Mace,Habiter recommencer sortir.,,,,Df2697,High
c523a266-e4a9-458f-ac28-f183da68c2ee,2025-06-28,2025-06-29,2025-07-03,3025-25-EU,CC-825,Drogist,VND-58293,Marie S.A.S.,60-0746382,INV-982124,PO-9759,TJS,29851.29,SEPA,Société Générale,589,069454600,GJXKDEVZ,DE14410829131703699657,GFEO08908193660912,Lynda Williams,Bringen sieht vor Bauer.,,,,HF3894,Medium
