Employee_ID,Global_UID,Employment_Status,First_Name,Middle_Name,Last_Name,Maiden_Name,SSN_National_ID,Passport_Number,Driver_License_Number,Date_of_Birth,Place_of_Birth,Gender,Marital_Status,Nationality,Personal_Email,Work_Email,Home_Phone,Mobile_Phone,Street_Address,City,State_Province,Zip_Postal_Code,Country,Job_Title,Department,Manager_Name,Hire_Date,Annual_Salary,Bonus_Target_Percent,Direct_Deposit_Routing,Direct_Deposit_Account,Emergency_Contact,Emergency_Phone,Insurance_Policy_ID,DLP_Sensitivity_Label
EMP-10013,535565dd-44f0-4056-bdf3-8f3aceccfc8e,Terminated,Denise,Phillip,Wood,,ZZ224977T,HW3688007,S1736054,1974-06-04,Port Luke,Male,Single,United States,ferrelljody@hotmail.com,denise.wood@corp-internal.com,354.981.6191x694,(432)895-5485,"Flat 86g
Emily Keys",West Manuel,MH,33828,USA,Heritage manager,Sales,Kathryn Reed,2025-03-31,"$137,550",10%,088284505,XFGM61857605112364,Olivia Dixon,+441134960299,GRP-620226,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10014,353fcf79-ad6c-4c8b-a2ea-09c3e6fe1172,Terminated,Christopher,Allan,Walters,,ZZ 413355 T,HC8066096,Q4465819,1982-01-03,North Stacymouth,Female,Single,United States,kstone@yahoo.co.uk,christopher.walters@corp-internal.com,488-784-5523x9311,(439)347-2467,"Studio 6
Morrison Courts",Lake Kyle,AR,48887,USA,Agricultural consultant,Finance,Diana Bowen,2022-06-15,"$118,074",5%,095182386,THEV34901681754106,Brett Reid,660.951.2303,GRP-956084,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10015,18b09ef3-fd67-4c53-a294-e910f95121cd,Terminated,Charles,Jared,Carey,,ZZ 10 02 86 T,CO0550288,V9965221,2003-11-21,Port Carlastad,Prefer not to say,Divorced,United States,norman49@gmail.com,charles.carey@corp-internal.com,445-823-2327,001-809-739-1450x59915,452 Aaron Union,Jeremyfort,PR,14993,USA,Exhibition designer,HR,Lisa Foster,2021-08-10,"$177,510",19%,028227807,QVPE92189074085263,Lawrence Smith,+44121 4960452,GRP-194941,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10016,1b85a936-0cf7-4d0c-bec9-87da16e7f61d,On Leave,Karen,Taylor,Sanchez,,ZZ 22 89 79 T,AU2720212,P1219985,1990-12-08,North Jake,Prefer not to say,Divorced,United Kingdom,ebrown@yahoo.com,karen.sanchez@corp-internal.com,(479)425-8827x2619,(029)2018064,39952 Benson Squares,East Stephaniehaven,OH,62920,USA,Astronomer,Finance,Leslie Barrett,2023-08-07,"$65,633",10%,033239301,RUBA95816613957800,Deborah Jones-Foster,0121 496 0406,GRP-552023,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10017,8ba21acb-f6a6-4343-98b9-51aca3d90101,Terminated,Patrick,Christina,Payne,,723-48-5797,NH2021930,E7326181,1979-06-09,Lake Brian,Prefer not to say,Single,United Kingdom,taylorjeremy@yahoo.com,patrick.payne@corp-internal.com,020 74960666,+1-771-575-8450x30722,"Flat 0
Watts Corners",Lesleyton,ND,42181,USA,Interior and spatial designer,HR,Dr Olivia Stokes,2018-02-23,"$161,760",15%,041536591,GGEX73838640733745,Nathan Knight,01414960299,GRP-776444,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10018,16756c5f-e736-4401-b13f-0c04698ae9a6,On Leave,Catherine,Brett,Williams,,044-47-7218,EP5514269,P0763268,1967-10-10,Avilabury,Prefer not to say,Widowed,United States,priceross@hotmail.com,catherine.williams@corp-internal.com,+44118 496 0809,(500)966-0886,0951 Valerie Harbor Suite 299,East Lawrence,MH,30793,USA,Health promotion specialist,Finance,Clive Roberts,2018-02-11,"$123,986",5%,045577132,OGHQ28985089245132,Wendy Henderson-Tyler,0118 4960713,GRP-820130,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10019,6a34390a-6e93-41ca-9659-689650163e60,Terminated,Gerard,Kyle,Field,,ZZ 68 86 15 T,GR8427059,B7556865,1997-09-30,Annetteview,Prefer not to say,Single,United States,denise65@outlook.com,gerard.field@corp-internal.com,029 2018 0282,6768543775,8626 Michelle Flats,Kayleeview,AK,86671,USA,"Journalist, broadcasting",HR,Bryan Thomas,2023-12-21,"$146,472",18%,108534957,RILL84569185371830,Bryan Mueller,696.882.6176x252,GRP-773154,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10020,69340ea8-78ff-4c42-804b-21e701fcdffd,Terminated,Joan,Patricia,Ward,,497-61-9187,HY4155654,B7363976,1966-12-30,Darrenfurt,Male,Single,United Kingdom,zwells@hotmail.co.uk,joan.ward@corp-internal.com,(020)74960089,+1-594-917-4394,047 Charlotte Loaf,New Annetown,WY,78781,USA,Landscape architect,Sales,Natalie Chapman,2017-03-11,"$132,819",9%,032055308,DXKO71458127007163,Liam Foster,+44909 879 0397,GRP-348475,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10021,5a24ea81-6383-4445-9dcd-3fdd16b39716,Active,Geraldine,Marie,Washington,,ZZ947223T,XY0542684,A3019677,1995-11-02,North Annettefurt,Non-Binary,Widowed,United Kingdom,hstorey@yahoo.co.uk,geraldine.washington@corp-internal.com,+1-464-272-7716,(0151) 4960472,"Flat 28E
Lawson Heights",Sharpburgh,AL,08495,USA,Administrator,Engineering,Chelsea Miles,2021-09-19,"$151,243",12%,069139284,ATRG46590913284140,Nathan Sheppard,(773)659-5497x4183,GRP-764298,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10022,7d91e104-8705-49b4-99d1-700ee2360764,Terminated,Bruce,Raymond,Ford,,289-77-3087,CZ9434293,H8048396,1965-02-16,North Danny,Female,Widowed,United States,jamesthomas@yahoo.com,bruce.ford@corp-internal.com,(01632)960634,020 74960912,77 Smith Mountains,North Leetown,PA,10339,USA,Production manager,Engineering,Brian Johnson,2019-10-01,"$114,565",13%,037095017,KBZM30571480815200,Garry Henderson,+44121 496 0089,GRP-183345,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10023,2bbca212-5eed-4821-9152-06dc84b69bb0,Active,Roy,William,Gould,,ZZ 356386 T,SE4794934,U3958957,1971-02-10,Justinstad,Male,Married,United States,harrisabdul@yahoo.com,roy.gould@corp-internal.com,(0909) 879 0704,01164960930,24936 Jones Mill Suite 763,North Francis,CA,63986,USA,"Merchandiser, retail",HR,Dr Hannah Dickinson,2019-10-03,"$92,077",19%,090138209,YSHT21599888141605,Graeme Wood,0151 4960073,GRP-437906,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10024,f428ae1c-8b4b-4960-bd3d-fe6e4c47c851,Terminated,Ashley,Joseph,Parker,,ZZ 996811 T,UL2121054,T1201770,1997-05-28,Lake Mark,Male,Divorced,United States,ingramoliver@hotmail.co.uk,ashley.parker@corp-internal.com,(608)827-3551,+1-904-569-2096,9 Julie Pines,North Timothystad,KY,60042,USA,Aeronautical engineer,HR,Luke Jackson,2025-10-12,"$53,949",11%,024098959,TNXF80587323214575,Sharon Jones,0808 157 0241,GRP-202892,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10025,879375c4-0632-49fc-b2ce-3407bbc2f6d2,On Leave,Jason,Dominic,Holloway,,ZZ627256T,OI6777916,S7047708,1980-09-09,Marqueztown,Female,Divorced,United States,wbarry@hotmail.co.uk,jason.holloway@corp-internal.com,5015885353,+4428 9018660,2078 Love Ferry Suite 486,Nunezbury,SC,44896,USA,Historic buildings inspector/conservation officer,Engineering,Brianna Hall,2019-09-05,"$111,748",17%,042850496,CLID30332373541488,Wayne Adams,001-798-206-5951,GRP-441400,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10026,ba91ceb5-b9db-47d3-a592-b55527ce43a6,Terminated,Clare,Beth,Henderson,Thomson,820-66-8146,AD7180878,S7246814,1960-07-25,East Helen,Female,Married,United States,nancytaylor@yahoo.com,clare.henderson@corp-internal.com,8555463587,0117 496 0864,"Studio 94n
Adam Stravenue",Carolville,DC,56788,USA,Warden/ranger,Legal,Valerie Smith,2024-03-19,"$169,611",13%,061011627,NZUH19321019382747,Douglas Dawson,0161 496 0013,GRP-724005,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10027,18534ee0-b88f-4b48-9ecd-3338daca3190,On Leave,Daniel,Tonya,Shea,,463-60-8412,BB7512089,S0357739,1983-04-08,Pennyhaven,Female,Single,United States,nperez@yahoo.com,daniel.shea@corp-internal.com,7229955239,001-706-606-0363x0793,"Studio 36
Rhys Springs",Watsontown,ND,78745,USA,Clinical cytogeneticist,Sales,Michele Ellison,2016-05-28,"$74,321",11%,095109848,WDBP48490065136025,Emily Hussain-Arnold,(236)408-6183,GRP-741521,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10028,85431d2b-4e40-49d1-b3d3-3acb25d789b3,On Leave,Nicole,Brett,Miller,Harvey,175-61-8222,KH9242829,K3425450,2002-10-05,West Marktown,Female,Married,United States,abigailhall@hotmail.com,nicole.miller@corp-internal.com,960-787-1605x9065,+1-682-726-9343x35786,2652 Maria Green Apt. 468,Mccoyland,CA,40437,USA,"Therapist, horticultural",Engineering,Mrs Jean Williams,2019-01-27,"$160,854",14%,010936588,WHQQ22579896160704,Ms Kim Wilkins,01144960530,GRP-819568,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10029,8bd9c370-563c-41bf-95e1-5884230e1edf,Active,Terence,Charles,Wood,,ZZ 66 32 62 T,NJ6346214,Y1642568,1969-02-17,Santiagohaven,Prefer not to say,Divorced,United States,fpage@gmail.com,terence.wood@corp-internal.com,(0161) 496 0489,6779744532,8505 Petersen Brook Suite 799,New Reece,MN,55551,USA,Bookseller,Sales,Ashley Norris-Jackson,2022-01-26,"$97,814",12%,012026894,MXFP62630133603656,Tonya Oliver,+44(0)808 1570677,GRP-382284,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10030,2da0b185-7c49-4315-9c09-c9768b1e73c7,On Leave,Paul,Darren,Thomas,,ZZ516006T,KS6407050,V1241747,2002-11-11,East Nicholasport,Non-Binary,Widowed,United States,lee22@yahoo.com,paul.thomas@corp-internal.com,(208)423-1050,(914)436-8647x556,9307 Ramos Walks,Sharonport,AS,97887,USA,Armed forces logistics/support/administrative officer,Finance,Ms Jayne Thompson,2024-01-26,"$151,453",12%,023285543,ERWJ92549834326284,David Joseph,316-830-8285x28494,GRP-741123,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10031,22da2a6d-07f8-4fbe-b2d8-036a19290d10,On Leave,Marion,Jayne,Jones,,ZZ 051708 T,GG9118620,O1035429,1970-02-21,Farrellland,Prefer not to say,Single,United States,holdenphilip@hotmail.co.uk,marion.jones@corp-internal.com,658-581-2252x93139,(0909) 8790094,0469 Robinson Via,Kathryntown,RI,66804,USA,Art gallery manager,Finance,Lorraine Brown,2018-08-12,"$158,789",16%,044662187,YAPA44020346300808,Josephine Taylor,0161 4960044,GRP-120324,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10032,409b0a4c-8bd2-4eef-b9cd-88596c7ebcd4,Terminated,Brian,Theresa,Jones,,408-60-3975,UB8042568,F3879454,1960-06-05,Williamsonborough,Female,Divorced,United Kingdom,daniel13@yahoo.com,brian.jones@corp-internal.com,001-905-452-8719x110,499-460-8615x9725,7278 Lisa Fall Suite 174,Jacobland,NJ,84845,USA,Aid worker,Finance,Lauren Hernandez,2024-03-29,"$116,028",11%,061113842,TYLO97217147929218,Leonard McDonald-Humphreys,8237544875,GRP-511296,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10033,d8a53bb8-931e-4894-8488-8b9192205182,Active,Timothy,Donald,Howell,,ZZ 473856 T,SK2660378,X4852867,1968-05-17,Thomasside,Male,Divorced,United States,hunteroliver@yahoo.com,timothy.howell@corp-internal.com,324.521.2444,(0909) 879 0665,"Flat 78
Hunt Lodge",Terryside,MN,10086,USA,"Engineer, land",Legal,Tammy Roach,2019-09-14,"$71,940",18%,096553147,XMMB94901399051672,Brianna Clark,+44(0)113 4960785,GRP-245914,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10034,49d13778-01db-4d34-b29f-e73837ea49cc,Active,Connor,Toby,Burns,,ZZ 39 99 19 T,ZJ2253938,J4939723,2003-05-06,Wardfurt,Non-Binary,Widowed,United States,julie23@gmail.com,connor.burns@corp-internal.com,927-770-6588x952,7379715303,833 Rice Pass Apt. 190,West Suzanne,CO,66802,USA,"Radiographer, diagnostic",Engineering,Nicola Reed,2017-07-31,"$59,953",19%,110760382,UYNJ63566700701082,Mr Owen Doyle,001-942-897-4480x46277,GRP-641039,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10035,773acf30-176b-403d-ac99-823d8fe6b650,Active,Diane,Adam,Taylor,,ZZ 14 15 98 T,NR9451785,K9089778,1966-03-17,South Jasonhaven,Male,Married,United Kingdom,carolyn84@gmail.com,diane.taylor@corp-internal.com,+44(0)1144960644,(369)668-2953,698 Virginia Crossroad,North Mirandaberg,MT,12738,USA,Tree surgeon,Engineering,Michael Miller,2022-03-08,"$93,451",14%,065079225,KWHW41471477034579,Amber Hicks,(0121)4960928,GRP-834505,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10036,00440e4c-de13-4f50-908a-d5b6030883b0,Terminated,Ashley,Eileen,Moore,,ZZ465596T,MD0898715,Y1726109,1971-07-22,New Stevenview,Male,Divorced,United States,xayala@gmail.com,ashley.moore@corp-internal.com,01514960125,(823)359-0284,8636 Miller Inlet,South Katefort,AR,53804,USA,Medical secretary,Legal,Karen Huber,2017-05-21,"$127,342",7%,016112908,IIXZ62308643199785,Gregory Potts,864-301-9424,GRP-647475,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10037,69cba905-5ed7-412e-b8bc-a2866118fe67,Active,Anthony,Anthony,Booth,,ZZ 83 50 11 T,NJ4424826,C6624782,1961-05-17,South Fionabury,Male,Single,United States,rebecca15@gmail.com,anthony.booth@corp-internal.com,(0161) 4960648,6506291541,"Studio 1
Thomas Mews",Lambshire,TX,28288,USA,Legal secretary,Engineering,Andrea Clark,2020-04-01,"$119,844",15%,098295306,ARTM84014258353276,William Bernard,+1-422-650-1570x2678,GRP-213630,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10038,63637fff-ea94-414d-b69d-2c4a8fc7f905,Terminated,Patrick,Jason,Hunter,,ZZ 63 38 21 T,SE3085697,F6249292,1960-09-18,Davidshire,Non-Binary,Widowed,United States,alexander26@yahoo.com,patrick.hunter@corp-internal.com,01632960546,020 74960467,0791 Mary Alley Suite 189,Jaredport,AS,07202,USA,"Designer, blown glass/stained glass",Sales,Craig Yates,2017-04-20,"$121,698",14%,024439055,IOXX50513903215841,Dr Benjamin Cunningham,+44191 4960309,GRP-318855,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10039,04dcf16c-1119-4483-a9a7-1e932cf9a1ca,Terminated,Monica,Suzanne,Reynolds,,ZZ 00 86 67 T,HK3460158,O2061559,1972-07-24,Hillmouth,Male,Married,United States,ecole@hotmail.com,monica.reynolds@corp-internal.com,(0118) 4960565,+44(0)292018095,9 Lewis Lodge,East Albert,DC,72743,USA,Estate manager/land agent,HR,Ronald Nixon,2025-08-15,"$72,316",18%,048528078,HBLU02476787619459,Brian Contreras,001-417-258-0339x03487,GRP-136124,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10040,096b6b10-2506-445c-98a8-7f85f23afd3c,On Leave,Marilyn,Jeffrey,Moran,,ZZ043706T,UV5143717,L9538121,1974-09-20,Sheenachester,Male,Married,United States,kristinmiller@gmail.com,marilyn.moran@corp-internal.com,+44(0)117 496 0149,001-874-466-8686x52554,370 Penny Road Apt. 225,Marilynside,FM,38376,USA,Catering manager,Legal,Mrs Tracy Gough,2018-05-01,"$55,874",8%,035255655,ZIGF89689492495016,Denise Barnes,001-992-275-3418x455,GRP-444020,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10041,788596ab-bf6d-4789-a556-a2598f483619,On Leave,Tammy,Tammy,Allen,,455-82-5838,XY7553974,C2243067,1984-03-21,Smithport,Non-Binary,Divorced,United States,gabriellejohnson@yahoo.com,tammy.allen@corp-internal.com,+44(0)141 496 0910,(703)359-3154,190 Schofield Flat,Darleneburgh,AL,06347,USA,Trading standards officer,Engineering,Patrick Clark,2024-12-10,"$130,927",16%,043173745,IEGM96411546164929,Jane Sullivan,001-520-284-8692x552,GRP-518960,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10042,c8604a38-4c0b-4b5e-af58-c62844f89d79,Terminated,James,Paul,Gillespie,,479-10-5628,KR7695569,J4101613,1985-08-27,West Eric,Male,Widowed,United States,smithkenneth@yahoo.com,james.gillespie@corp-internal.com,(671)363-3870,+4420 7496 0612,01 Clive Unions,North Paulside,NH,30027,USA,"Engineer, mining",Legal,Brian Horn,2022-11-30,"$174,469",11%,042925800,QEKC43709453601206,Dr Connor Allen,020 74960292,GRP-693594,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10043,c920b7d4-8e16-48fc-acdf-20a673fd3d8e,Active,Jenna,Courtney,Holden,,019-59-5149,KT2155560,K5335944,1995-09-11,Lake Katherineborough,Prefer not to say,Married,United States,derekharvey@outlook.com,jenna.holden@corp-internal.com,01614960169,(0116) 496 0919,34613 Park Ports,Port Anthonyhaven,IL,19906,USA,Communications engineer,HR,Nicola Goodwin,2020-06-14,"$46,003",19%,010235852,JAHQ20939722563109,Mr Mark McDonald,+44(0)1514960396,GRP-949175,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10044,6f14015c-2865-4249-9c22-d66bf2e2206e,On Leave,Andrew,Holly,Mitchell,,713-65-7086,QQ7401193,G7818407,1962-08-13,Adamsburgh,Female,Widowed,United Kingdom,owenrice@gmail.com,andrew.mitchell@corp-internal.com,630-332-6213x88864,447-594-7420x295,"Studio 3
Houghton Plains",South Aimeeport,WY,25670,USA,Land,HR,Amy Gibson,2022-03-30,"$178,604",7%,010044807,VPPT14057632839212,Victoria Gardner,+441164960535,GRP-671334,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10045,41807e42-62ed-4b5b-a470-87ab156c6f30,Active,Teresa,Jason,Hobbs,,458-65-0075,QF3311141,Z5894477,1982-05-25,North Josephineview,Non-Binary,Widowed,United States,newmangeraldine@hotmail.co.uk,teresa.hobbs@corp-internal.com,+441134960545,+1-387-731-4195x262,07930 Lopez Flat,Johnside,ID,74003,USA,Theatre manager,Finance,Maurice Thomas,2018-12-13,"$118,616",16%,106679982,AJCV94487217987383,Jared Flores,0808 157 0958,GRP-205101,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10046,239ee0a6-f52c-4486-bf26-7deaa471a608,On Leave,Jacob,Amy,Palmer,,ZZ795703T,PB8217490,U8295597,1993-09-25,Angelashire,Male,Married,United Kingdom,droberts@hotmail.com,jacob.palmer@corp-internal.com,+1-848-704-1137x3674,(0118) 4960914,678 Jessica Drive,Robertton,AR,96049,USA,Risk manager,Engineering,Rosemary Moore-Stokes,2020-12-10,"$85,021",14%,092283495,XLOC14347510677871,Hayley Robinson,+44(0)1134960267,GRP-162010,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10047,890195c2-4785-4ffe-a66a-014c00d1e193,Active,John,Grace,Kemp,,ZZ902891T,BA9609854,X0993875,1998-09-07,Holmesmouth,Female,Divorced,United Kingdom,whitehollie@gmail.com,john.kemp@corp-internal.com,020 7946 0750,+44(0)1134960776,250 Brian Streets Suite 212,New Rachelstad,MD,37230,USA,Politician's assistant,Finance,Jacob Murphy,2016-05-22,"$64,267",16%,045559082,XGXH80735121139694,Dr Roy Kay,(0113)4960565,GRP-286984,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10048,4833ec65-2ae4-4f1e-935e-a94725110585,On Leave,Paul,Debra,Mann,,ZZ 51 98 24 T,AV3920795,U1794810,1965-02-03,Mcdanielmouth,Non-Binary,Married,United States,vjensen@yahoo.com,paul.mann@corp-internal.com,442.379.7113,816.660.7095,"Studio 27
Khan Avenue",Powermouth,MA,67437,USA,Local government officer,HR,Mr Harry Fowler,2018-06-03,"$80,296",9%,100398984,KZFO78411245078758,Joel Bryant,0151 496 0946,GRP-729819,CONFIDENTIAL - INTERNAL USE ONLY
